Title,Author,List Price,Amazon Price,Hard/ Paper,NumPages,Publisher,Pub year,ISBN-10,Height,Width,Thick,Weight (oz)
Swimsuit,James Patterson & Maxine Paetro,9.99,9.99,P,400,Grand Central Publishing,2011,446561355,7.8,4.2,1.2,7.2
"That Was Then, This Is Now",S.E. Hinton,9.99,9.99,P,160,Speak,1998,140389660,7.5,4.3,0.6,4
"The Armies of the Night: History as a Novel, the Novel as History",Norman Mailer,16,10.77,P,304,Plume,1995,452272793,8,5.3,0.7,9.6
The blind-side,Michael Lewis,13.95,8.5,P,352,W.W.norton & company,2009,039000838X,8.4,5.5,0.9,10.6
The Cat in the Hat,Seuss,8.99,8.99,H,72,Random House Books,1957,717260593,9.3,6.8,0.4,8.5
The Da Vinci Code,Brown,9.99,9.99,H,597,Anchor,2009,307474275,7.5,4.3,1.3,12.8
The Effective Executive: The Definitive Guide to Getting the Right Things Done,Drucker,16.99,10.68,P,208,Harper Paperbacks,2006,60833459,7.8,5.3,0.6,5.6
The Emporer's Handbook: A New Translation of the Meditations,Marcus Aurelius,22,14.96,H,160,Scribner,2002,743233832,8.7,5.9,0.6,3.2
The Field Guide to John Deere Tractors,Don Macmillan,8.42,8.42,H,160,Voyageur Press,2003,089658514X,9.1,6,0.7,16
The Girl With the Dragon Tatoo,Stieg Larsson,14.95,8.26,P,600,Vintage Crime / Black Lizard,2009,307454541,8.1,5.2,1.1,16
The Guernsey Literary and Potato Peel Pie Society,Shaffer,15,8.05,H,290,Dial Press,2009,385341008,7.8,5.4,0.7,8
The Guns of August,Barbara W. Tuchman,17,11.56,P,544,Ballantine Books,1994,034538623X,8.1,5.5,1.1,16
The Invisible Bridge (Vintage Contemporaries),Orringer,15.95,8.95,P,784,Vintage,2011,140003437,7.8,5.2,1.4,20.8
The John Deere Two-Cylinder Tractor Encyclopedia: The Complete Model-by-Model History,Don Macmillan,39.95,23.79,H,256,Voyageur Press,2007,140003437X,,,1,
The Last Summer Of The Death Warriors,Francisco Stork,10.65,13.13,H,352,Arthur A. Levine Books; 1 edition,2010,545151333,8.3,6.4,1.2,15.2
The Lincoln Lawyer,Michael Connelly,13.99,7.79,P,432,Grand Central Publishing,2011,1455500246,8.2,5.4,1.2,11.4
The Maze Runner,Dashner,9.99,9.99,P,400,Delacorte Press,2010,385737955,8.2,5.5,0.7,13.4
The Official Dictionary of Sarcasm: A Lexicon for Those of Us Who Are Better and Smarter Than the Rest of You,James Napoli,14.95,7.9,P,368,Sterling Innovation,2010,1402769520,6.9,6.1,1.2,26.4
The Paris Wife,Paula McLain,25,14.46,H,336,Ballantine Books,2011,345521307,9.3,6.4,1.1,22.4
The Practice of Concern,John Traphagan,30,23.94,P,248,Carolina Academic Press,2004,89089406X,8.5,5.5,0.6,12
The Snowball: Warren Buffett and the Business of Life: Updated editionÊ,Alice Schroeder,20,13.6,P,832,Bantam,2009,553384619,9.2,5.9,1.5,32
The Sound and the Fury,William Faulkner,15.44,8.45,P,464,W.W. Norton,1993,393964817,8.5,5.1,0.8,15.2
The Sound and the Fury: The Corrected Text with Faulkner's Appendix,William Faulker,22,14.96,H,368,Modern Library,1992,67600175,7.9,5,1,11.2
The Sound of the Mountain,Kawabata,14.95,10.17,P,288,Vintage,1996,679762647,8.1,5.3,0.6,9.1
The Time Keeper,Cropp,14,14,P,248,Copper Press,2005,976050617,8.4,5.4,0.7,10.4
The Time Traveller's Wife,Niffenegger,14.95,5.98,P,546,Harcourt,2004,015602943X,7.9,5.3,1.2,13.6
The Woman in White,Wilkie Collins,20,12.17,H,720,Penguin Classics,2010,141192449,7.9,5.3,1.7,28.8
The Yacoubian Building,Alaa Aswany,13.99,11.19,P,255,Harper Perennial,2006,60878134,8,5.4,0.7,8
Their Eyes Were Watching God,Hurston,15.99,8.5,P,256,Harper Perennial Modern Classics,2006,61120065,8.4,5.5,0.7,8.8
To the End of the Land (Vintage International),Grossman,15.95,10.68,P,672,Vintage,2011,307476405,7.9,5.2,1.4,19.2
War Trash,Ha Jin,15.95,10.85,P,368,Vintage,2005,1400075793,7.9,5.2,0.9,10.4
White Privilege,Paula S. Rothenberg,27.55,27.55,P,160,Worth Publishers,2011,1429233443,9.1,6.1,0.7,8
