Response,Income
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
Redistribute,>75K
